,app,review,rating,tokenized_review,replaced_review
2330,7분 운동,좋아요,5,,
2331,7분 운동,이것때문에 하루에7분이라도 하네요.,5,,
2332,7분 운동,좋아요!,5,,
2333,7분 운동,간단하지만 꽤 힘도 듭니다.좋아요.,5,,
2334,7분 운동,짱이에요!,5,,
2335,7분 운동,Good!,5,,
2336,7분 운동,좋은 앱입니다,5,,
2337,7분 운동,진짜 간단하게 운동하기에는 최적에 어플리케이션 갔아요 짱,5,운동 최적 어플리케이션,운동 최적 어플리케이션
2338,7분 운동,제가 어제부터 써는데 살이빠진것같이요 근데 꾸준이사용하면 좋을 것 같아요 제작자님 감사해요,5,감사,감사
2339,7분 운동,중국말처럼 읽어주는 로봇음성 너무 웃겨요 ㅎ 그리고 운동할때 카운트를 같이 세어주면 좋을 것 같습니다,5,중국 로봇 음성 운동 카운트,중국 로봇 음성 운동 카운트
